CMDLINE 21880
MEM 604.226562 1691410088.3394
MEM 604.226562 1691410088.4480
MEM 604.226562 1691410088.5560
MEM 604.226562 1691410088.6642
MEM 604.226562 1691410088.7724
MEM 604.226562 1691410088.8821
MEM 604.226562 1691410088.9912
MEM 604.226562 1691410089.1003
MEM 604.226562 1691410089.2100
MEM 604.226562 1691410089.3183
MEM 604.226562 1691410089.4272
MEM 604.226562 1691410089.5347
MEM 604.226562 1691410089.6416
MEM 604.226562 1691410089.7494
MEM 604.226562 1691410089.8590
MEM 604.226562 1691410089.9670
MEM 604.226562 1691410090.0757
MEM 604.226562 1691410090.1838
MEM 604.226562 1691410090.2918
MEM 604.226562 1691410090.3998
MEM 604.226562 1691410090.5083
MEM 604.226562 1691410090.6165
MEM 604.226562 1691410090.7254
MEM 604.226562 1691410090.8331
MEM 604.226562 1691410090.9417
MEM 604.226562 1691410091.0524
MEM 604.226562 1691410091.1596
MEM 604.226562 1691410091.2699
MEM 604.226562 1691410091.3796
MEM 604.226562 1691410091.4887
MEM 604.226562 1691410091.5977
MEM 604.226562 1691410091.7070
MEM 604.226562 1691410091.8174
MEM 604.226562 1691410091.9242
MEM 604.226562 1691410092.0318
MEM 604.226562 1691410092.1407
MEM 604.226562 1691410092.2492
MEM 604.226562 1691410092.3583
MEM 604.226562 1691410092.4662
MEM 604.226562 1691410092.5745
MEM 604.226562 1691410092.6852
MEM 604.226562 1691410092.7948
MEM 604.226562 1691410092.9029
MEM 604.226562 1691410093.0115
MEM 604.226562 1691410093.1202
MEM 604.226562 1691410093.2296
MEM 604.226562 1691410093.3382
MEM 604.226562 1691410093.4477
MEM 604.226562 1691410093.5567
MEM 604.226562 1691410093.6662
MEM 604.226562 1691410093.7741
MEM 604.226562 1691410093.8841
MEM 604.226562 1691410093.9920
MEM 604.226562 1691410094.1021
MEM 604.226562 1691410094.2099
MEM 604.226562 1691410094.3203
MEM 604.226562 1691410094.4289
MEM 604.226562 1691410094.5396
MEM 604.226562 1691410094.6474
MEM 604.226562 1691410094.7570
MEM 604.226562 1691410094.8655
MEM 604.226562 1691410094.9741
MEM 604.226562 1691410095.0827
MEM 604.226562 1691410095.1912
MEM 604.226562 1691410095.2998
MEM 604.226562 1691410095.4088
MEM 604.226562 1691410095.5176
MEM 604.226562 1691410095.6250
MEM 604.226562 1691410095.7340
MEM 604.226562 1691410095.8433
MEM 604.226562 1691410095.9532
MEM 604.226562 1691410096.0628
MEM 604.226562 1691410096.1706
MEM 604.226562 1691410096.2789
MEM 604.226562 1691410096.3890
MEM 604.226562 1691410096.4979
MEM 604.226562 1691410096.6055
MEM 604.226562 1691410096.7145
MEM 604.226562 1691410096.8219
MEM 604.226562 1691410096.9299
MEM 604.226562 1691410097.0369
MEM 604.226562 1691410097.1446
MEM 604.226562 1691410097.2518
MEM 604.226562 1691410097.3609
MEM 604.226562 1691410097.4703
MEM 604.226562 1691410097.5795
MEM 604.226562 1691410097.6892
MEM 604.226562 1691410097.7984
MEM 604.226562 1691410097.9061
MEM 604.226562 1691410098.0157
MEM 604.226562 1691410098.1255
MEM 604.226562 1691410098.2359
MEM 604.226562 1691410098.3458
MEM 604.226562 1691410098.4555
MEM 604.226562 1691410098.5630
MEM 604.226562 1691410098.6720
MEM 604.226562 1691410098.7809
MEM 604.226562 1691410098.8904
MEM 604.226562 1691410098.9987
MEM 604.226562 1691410099.1074
MEM 604.226562 1691410099.2144
MEM 604.226562 1691410099.3243
MEM 604.226562 1691410099.4332
MEM 604.226562 1691410099.5426
MEM 604.226562 1691410099.6491
MEM 604.226562 1691410099.7591
MEM 604.226562 1691410099.8691
MEM 604.226562 1691410099.9786
MEM 604.226562 1691410100.0865
MEM 604.226562 1691410100.1963
MEM 604.226562 1691410100.3054
MEM 604.226562 1691410100.4147
MEM 604.226562 1691410100.5235
MEM 604.226562 1691410100.6312
MEM 604.226562 1691410100.7413
MEM 604.226562 1691410100.8490
MEM 604.226562 1691410100.9579
MEM 604.226562 1691410101.0658
MEM 604.226562 1691410101.1740
MEM 604.226562 1691410101.2837
MEM 604.226562 1691410101.3929
MEM 604.226562 1691410101.4991
MEM 604.226562 1691410101.6075
MEM 604.226562 1691410101.7165
MEM 604.226562 1691410101.8262
MEM 604.226562 1691410101.9346
MEM 604.226562 1691410102.0418
MEM 604.226562 1691410102.1509
MEM 604.226562 1691410102.2606
MEM 604.226562 1691410102.3690
MEM 604.226562 1691410102.4787
MEM 604.226562 1691410102.5863
MEM 604.226562 1691410102.6958
MEM 604.226562 1691410102.8039
MEM 604.226562 1691410102.9105
MEM 604.226562 1691410103.0194
MEM 604.226562 1691410103.1283
MEM 604.226562 1691410103.2373
MEM 604.226562 1691410103.3462
MEM 604.226562 1691410103.4545
MEM 604.226562 1691410103.5638
MEM 604.226562 1691410103.6726
MEM 604.226562 1691410103.7814
MEM 604.226562 1691410103.8905
MEM 604.226562 1691410104.0001
MEM 604.226562 1691410104.1091
MEM 604.226562 1691410104.2161
MEM 604.226562 1691410104.3253
MEM 604.226562 1691410104.4326
MEM 604.226562 1691410104.5418
MEM 604.226562 1691410104.6487
MEM 604.226562 1691410104.7566
MEM 604.226562 1691410104.8657
MEM 604.226562 1691410104.9754
MEM 604.226562 1691410105.0824
MEM 604.226562 1691410105.1911
MEM 604.226562 1691410105.2988
MEM 604.226562 1691410105.4070
MEM 604.226562 1691410105.5148
MEM 604.226562 1691410105.6209
MEM 604.226562 1691410105.7310
MEM 604.226562 1691410105.8374
MEM 604.226562 1691410105.9479
MEM 604.226562 1691410106.0570
MEM 604.226562 1691410106.1656
MEM 604.226562 1691410106.2744
MEM 604.226562 1691410106.3843
MEM 604.226562 1691410106.4912
MEM 604.226562 1691410106.5980
MEM 604.226562 1691410106.7067
MEM 604.226562 1691410106.8166
MEM 604.226562 1691410106.9250
MEM 604.226562 1691410107.0351
MEM 604.226562 1691410107.1450
MEM 604.226562 1691410107.2542
MEM 604.226562 1691410107.3622
MEM 604.226562 1691410107.4709
MEM 604.226562 1691410107.5792
MEM 604.226562 1691410107.6870
MEM 604.226562 1691410107.7942
MEM 604.226562 1691410107.9035
MEM 604.226562 1691410108.0132
MEM 604.226562 1691410108.1221
MEM 604.226562 1691410108.2319
MEM 604.226562 1691410108.3402
MEM 604.226562 1691410108.4483
MEM 604.226562 1691410108.5557
MEM 604.226562 1691410108.6654
MEM 604.226562 1691410108.7754
MEM 604.226562 1691410108.8846
MEM 604.226562 1691410108.9932
MEM 604.226562 1691410109.1027
MEM 604.226562 1691410109.2106
MEM 604.226562 1691410109.3221
MEM 604.226562 1691410109.4310
MEM 604.226562 1691410109.5391
MEM 604.226562 1691410109.6482
MEM 604.226562 1691410109.7568
MEM 604.226562 1691410109.8652
MEM 604.226562 1691410109.9751
MEM 604.226562 1691410110.0856
MEM 604.226562 1691410110.1946
MEM 604.226562 1691410110.3047
MEM 604.226562 1691410110.4134
MEM 604.226562 1691410110.5217
MEM 604.226562 1691410110.6314
MEM 604.226562 1691410110.7408
MEM 604.226562 1691410110.8498
MEM 604.226562 1691410110.9598
MEM 604.226562 1691410111.0676
MEM 604.226562 1691410111.1764
MEM 604.226562 1691410111.2850
MEM 604.226562 1691410111.3961
MEM 604.226562 1691410111.5051
MEM 604.226562 1691410111.6142
MEM 604.226562 1691410111.7241
MEM 604.226562 1691410111.8328
MEM 604.226562 1691410111.9417
MEM 604.226562 1691410112.0481
MEM 604.226562 1691410112.1561
MEM 604.226562 1691410112.2637
MEM 604.226562 1691410112.3712
MEM 604.226562 1691410112.4783
MEM 604.226562 1691410112.5839
MEM 604.226562 1691410112.6949
MEM 604.226562 1691410112.8026
MEM 604.226562 1691410112.9116
MEM 604.226562 1691410113.0204
MEM 604.226562 1691410113.1298
MEM 604.226562 1691410113.2386
MEM 604.226562 1691410113.3464
MEM 604.226562 1691410113.4557
MEM 604.226562 1691410113.5628
MEM 604.226562 1691410113.6717
MEM 604.226562 1691410113.7797
MEM 604.226562 1691410113.8892
MEM 604.226562 1691410113.9978
MEM 604.226562 1691410114.1073
MEM 604.226562 1691410114.2154
MEM 604.226562 1691410114.3256
MEM 604.226562 1691410114.4345
MEM 604.226562 1691410114.5418
MEM 604.226562 1691410114.6514
MEM 604.226562 1691410114.7608
MEM 604.226562 1691410114.8691
MEM 604.226562 1691410114.9793
MEM 604.226562 1691410115.0887
MEM 604.226562 1691410115.1967
MEM 604.226562 1691410115.3048
MEM 604.226562 1691410115.4139
MEM 604.226562 1691410115.5234
MEM 604.226562 1691410115.6312
MEM 604.226562 1691410115.7415
MEM 604.226562 1691410115.8503
MEM 604.226562 1691410115.9584
MEM 604.226562 1691410116.0672
MEM 604.226562 1691410116.1757
MEM 604.226562 1691410116.2849
MEM 604.226562 1691410116.3938
MEM 604.226562 1691410116.5046
MEM 604.226562 1691410116.6139
MEM 604.226562 1691410116.7214
MEM 604.226562 1691410116.8293
MEM 604.226562 1691410116.9384
MEM 604.226562 1691410117.0475
MEM 604.226562 1691410117.1567
MEM 604.226562 1691410117.2649
MEM 604.226562 1691410117.3747
MEM 604.226562 1691410117.4824
MEM 604.226562 1691410117.5904
MEM 604.226562 1691410117.6985
MEM 604.226562 1691410117.8064
MEM 604.226562 1691410117.9143
MEM 604.226562 1691410118.0233
MEM 604.226562 1691410118.1307
MEM 604.226562 1691410118.2398
MEM 604.226562 1691410118.3494
MEM 604.226562 1691410118.4591
MEM 604.226562 1691410118.5662
MEM 604.226562 1691410118.6753
MEM 604.226562 1691410118.7837
MEM 604.226562 1691410118.8923
MEM 604.226562 1691410119.0024
MEM 604.226562 1691410119.1090
MEM 604.226562 1691410119.2170
MEM 604.226562 1691410119.3247
MEM 604.226562 1691410119.4317
MEM 604.226562 1691410119.5403
MEM 604.226562 1691410119.6493
MEM 604.226562 1691410119.7577
MEM 604.226562 1691410119.8666
